x_cm,rho,N,N_eff,A
0.0,0.0,5005,4938,67736.62551440329
0.025,67.25,3124,3057,41934.15637860082
0.05,134.5,2018,1951,26762.688614540464
0.1,269.0,1115,1048,14375.8573388203
0.125,336.25,739,672,9218.106995884773
0.15,403.49999999999994,469,402,5514.403292181069
0.175,470.74999999999994,346,279,3827.1604938271603
0.2,538.0,191,124,1700.9602194787378
0.225,605.25,116,49,672.153635116598
0.25,672.5,78,11,150.89163237311385
0.275,739.75,49,-18,-246.91358024691357
0.3,806.9999999999999,42,-25,-342.9355281207133
0.35,941.4999999999999,26,-41,-562.4142661179698
0.4,1076.0,21,-46,-631.0013717421124